city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
254,Taoudenni,ML,22.6783,-3.9836,69.1,33,0,7.31,clear sky
255,Yerbogachen,RU,61.2767,108.0108,0.5,97,100,5.79,light snow
256,Belyy Yar,RU,53.6039,91.3903,-14.91,84,20,2.24,mist
257,Mount Isa,AU,-20.7333,139.5,98.37,11,49,6.91,scattered clouds
258,Margate,GB,51.3813,1.3862,38.57,68,23,8.43,few clouds
259,Kisangani,CD,0.5167,25.2,68.31,95,40,0.36,scattered clouds
260,Poum,NC,-20.2333,164.0167,81.21,68,5,3.22,clear sky
261,Prince Albert,CA,53.2001,-105.7677,1.35,85,75,3.44,broken clouds
262,Druskininkai,LT,54.0167,23.9667,19.54,95,96,6.4,overcast clouds
263,Dalvik,IS,65.9702,-18.5286,13.57,75,100,7.7,overcast clouds
264,Thompson,CA,55.7435,-97.8558,2.98,88,100,11.72,overcast clouds
265,Shubarkuduk,KZ,49.1447,56.4872,14.59,84,74,4.97,broken clouds
266,Cururupu,BR,-1.8283,-44.8683,75.25,88,26,2.91,scattered clouds
267,Saint-Pierre,RE,-21.3393,55.4781,79.92,65,0,5.75,clear sky
268,Praia,CV,14.9215,-23.5087,72.14,78,20,19.57,few clouds
269,Morbach,DE,49.8167,7.1167,16.3,92,100,4.61,fog
270,Okhotsk,RU,59.3833,143.3,7.59,83,100,19.08,overcast clouds
271,Rock Sound,BS,24.9,-76.2,77.88,68,7,7.61,clear sky
272,Esso,RU,55.9333,158.7,22.46,96,100,5.7,light snow
273,Lira,UG,2.235,32.9097,65.3,73,55,3.4,broken clouds
274,Worland,US,44.0169,-107.9554,14.58,91,100,4.25,overcast clouds
275,Tsogni,GA,-2.7942,10.0988,74.82,89,91,2.06,light rain
276,Ust-Uda,RU,54.1742,103.0304,8.29,92,100,2.33,light snow
277,Gao,ML,16.6362,1.637,66.72,17,0,11.72,clear sky
278,Tamasane,BW,-22.4184,27.4013,69.96,86,99,3.04,overcast clouds
279,Wajid,SO,3.8093,43.2471,71.17,69,7,14.18,clear sky
280,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,0,8.05,clear sky
281,Maceio,BR,-9.6658,-35.7353,74.64,88,0,4.61,clear sky
282,Namatanai,PG,-3.6667,152.4333,83.61,73,96,3.76,moderate rain
283,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,92,100,40.06,heavy intensity rain
284,Naze,JP,28.3667,129.4833,57.7,84,100,30.91,light rain
